,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
0,56,housemaid,married,basic.4y,no,no,no,telephone,may,mon,261,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1,35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,146,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2,54,blue-collar,divorced,basic.4y,no,no,no,telephone,may,mon,208,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
3,55,,married,basic.4y,,yes,no,telephone,may,mon,336,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
4,32,entrepreneur,married,high.school,no,yes,no,telephone,may,mon,314,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5,45,services,married,high.school,,yes,no,telephone,may,mon,787,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
6,38,admin.,married,high.school,,no,no,telephone,may,mon,165,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
7,57,,married,,,yes,no,telephone,may,mon,48,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
8,42,blue-collar,married,basic.6y,no,no,yes,telephone,may,mon,583,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
9,43,services,single,high.school,,no,no,telephone,may,mon,21,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
10,42,entrepreneur,married,,,yes,no,telephone,may,mon,293,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
11,37,management,married,university.degree,no,no,no,telephone,may,mon,337,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
12,56,admin.,married,,no,yes,no,telephone,may,mon,364,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
13,40,blue-collar,married,high.school,,yes,no,telephone,may,mon,98,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
14,41,technician,married,professional.course,,yes,no,telephone,may,mon,579,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
15,45,blue-collar,married,basic.9y,,yes,no,telephone,may,mon,461,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
16,43,unemployed,single,university.degree,no,yes,no,telephone,may,mon,240,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
17,42,admin.,single,university.degree,,no,no,telephone,may,mon,192,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
18,46,management,married,basic.9y,no,no,no,telephone,may,mon,128,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
19,37,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,270,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
20,42,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,673,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
21,39,blue-collar,married,high.school,no,yes,no,telephone,may,mon,356,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
22,55,housemaid,divorced,university.degree,no,no,no,telephone,may,mon,286,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
23,30,blue-collar,single,,no,yes,yes,telephone,may,mon,408,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
24,40,services,married,high.school,no,no,no,telephone,may,mon,322,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
25,46,technician,married,basic.4y,,yes,no,telephone,may,mon,288,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
26,58,blue-collar,married,basic.9y,,yes,no,telephone,may,mon,179,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
27,42,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,mon,189,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
28,39,housemaid,married,basic.9y,no,yes,no,telephone,may,mon,935,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
29,49,blue-collar,divorced,high.school,no,no,yes,telephone,may,mon,742,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
30,38,services,single,high.school,,no,no,telephone,may,mon,357,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
31,36,admin.,married,high.school,no,no,no,telephone,may,mon,669,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
32,32,services,single,high.school,no,yes,no,telephone,may,mon,158,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
33,33,entrepreneur,married,university.degree,no,yes,no,telephone,may,mon,130,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
34,38,services,married,high.school,no,yes,no,telephone,may,mon,347,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
35,46,admin.,single,high.school,no,yes,no,telephone,may,tue,344,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
36,41,self-employed,married,university.degree,no,no,no,telephone,may,tue,402,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
37,44,services,married,high.school,no,yes,no,telephone,may,tue,1030,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
38,30,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,227,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
39,43,technician,married,professional.course,no,yes,no,telephone,may,tue,225,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
40,46,housemaid,married,basic.9y,no,yes,no,telephone,may,tue,150,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
41,46,management,married,,no,yes,no,telephone,may,tue,149,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
