,age,education,housing,loan,month,day_of_week,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,marital_divorced,marital_married,marital_single,contact_cellular,contact_telephone,contact_unknown,poutcome_failure,poutcome_nonexistent,poutcome_success
0,56.0,0,0,1,2,0,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1,35.0,1,1,1,2,0,1.0,999.0,0.0,1.1,94.0,-36.4,4.857,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
2,54.0,0,0,1,2,0,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
3,55.0,0,1,1,2,0,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
4,32.0,2,1,1,2,0,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
5,45.0,3,1,1,2,0,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
6,38.0,2,0,1,2,0,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
7,57.0,3,1,1,2,0,1.0,999.0,0.0,1.1,94.0,-36.4,4.857,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
8,42.0,1,0,0,2,0,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
9,43.0,2,0,1,2,0,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
10,42.0,3,1,1,2,0,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
11,37.0,3,0,1,2,3,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5144.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
12,56.0,3,1,1,2,3,1.0,999.0,0.0,1.1,93.994,-36.4,3.0,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
13,40.0,2,1,1,2,0,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
