destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,car,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ5min,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,Y
No Urgent Place,Partner,Sunny,30.0,10AM,Bar,1d,Female,50plus,Single,0.0,Graduate degree (Masters or Doctorate),Education&Training&Library,$87500 - $99999,,1~3,1~3,less1,1~3,less1,1,1,0,0,1,0
Home,Alone,Sunny,80.0,6PM,Coffee House,2h,Female,26,Unmarried partner,0.0,Some college - no degree,Food Preparation & Serving Related,$25000 - $37499,,less1,less1,1~3,less1,1~3,1,0,0,0,1,1
Work,Alone,Sunny,55.0,7AM,Restaurant(<20),1d,Male,50plus,Single,0.0,Bachelors degree,Computer & Mathematical,$75000 - $87499,,1~3,never,1~3,4~8,1~3,1,0,0,0,1,1
No Urgent Place,Kid(s),Sunny,80.0,10AM,Bar,1d,Female,,Married partner,1.0,Associates degree,Unemployed,$75000 - $87499,,never,less1,4~8,1~3,less1,1,1,0,0,1,0
No Urgent Place,Friend(s),Sunny,30.0,10PM,Restaurant(<20),2h,Male,26,Married partner,0.0,Graduate degree (Masters or Doctorate),Architecture & Engineering,$100000 or More,,1~3,1~3,1~3,4~8,4~8,1,0,0,0,1,1
No Urgent Place,Alone,Sunny,80.0,2PM,Restaurant(<20),2h,Male,46,Married partner,1.0,Graduate degree (Masters or Doctorate),Retired,$50000 - $62499,,never,never,less1,4~8,1~3,1,1,0,0,1,0
No Urgent Place,Alone,Sunny,80.0,10AM,Coffee House,2h,Female,below21,Unmarried partner,0.0,Some college - no degree,Student,$100000 or More,,less1,1~3,less1,1~3,less1,1,1,0,0,1,1
No Urgent Place,Kid(s),Sunny,55.0,6PM,Coffee House,1d,Female,26,Married partner,1.0,Bachelors degree,Protective Service,$100000 or More,,never,gt8,4~8,gt8,1~3,1,1,0,0,1,1
No Urgent Place,Alone,Sunny,55.0,10AM,Coffee House,2h,Male,36,Single,0.0,Some college - no degree,Sales & Related,$50000 - $62499,,never,never,less1,4~8,less1,1,0,0,0,1,0
No Urgent Place,Friend(s),Snowy,30.0,10PM,Carry out & Take away,1d,Female,,Single,0.0,Graduate degree (Masters or Doctorate),Education&Training&Library,$87500 - $99999,,1~3,1~3,less1,1~3,less1,1,1,0,0,1,0
No Urgent Place,Friend(s),Sunny,80.0,2PM,Restaurant(<20),2h,Female,21,Unmarried partner,0.0,Bachelors degree,Student,$50000 - $62499,,less1,never,1~3,4~8,1~3,1,1,0,0,1,0
No Urgent Place,Alone,Sunny,30.0,10AM,Carry out & Take away,1d,Male,21,Single,1.0,Some college - no degree,Personal Care & Service,$25000 - $37499,,1~3,4~8,less1,never,never,1,1,0,0,1,1
Home,Alone,Rainy,55.0,10PM,Coffee House,1d,Female,50plus,Single,1.0,Bachelors degree,Office & Administrative Support,$37500 - $49999,,less1,4~8,1~3,1~3,1~3,1,0,0,1,0,1
Work,Alone,Sunny,30.0,7AM,Bar,1d,Male,21,Single,0.0,Some college - no degree,Student,$12500 - $24999,,1~3,less1,4~8,less1,never,1,1,0,1,0,1
No Urgent Place,Friend(s),Sunny,80.0,10AM,Bar,1d,Male,below21,Single,0.0,Some college - no degree,Student,$62500 - $74999,,never,1~3,1~3,never,1~3,1,0,0,0,1,1
Home,Alone,Snowy,30.0,6PM,Coffee House,1d,Male,36,Unmarried partner,1.0,Some college - no degree,Building & Grounds Cleaning & Maintenance,$25000 - $37499,,1~3,less1,1~3,1~3,less1,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,30.0,10AM,Carry out & Take away,2h,Male,21,Single,0.0,Bachelors degree,Student,$25000 - $37499,,1~3,4~8,1~3,1~3,less1,1,0,0,0,1,1
Home,Alone,Sunny,80.0,6PM,Coffee House,1d,Female,50plus,Single,0.0,Graduate degree (Masters or Doctorate),Unemployed,Less than $12500,,never,gt8,1~3,less1,less1,1,0,0,0,1,1
Work,Alone,Sunny,80.0,7AM,Carry out & Take away,2h,Female,50plus,Married partner,1.0,Some college - no degree,Transportation & Material Moving,$75000 - $87499,,never,never,4~8,gt8,less1,1,0,0,1,0,1
Home,Alone,Sunny,80.0,6PM,Coffee House,2h,Male,26,Single,0.0,Bachelors degree,Business & Financial,$100000 or More,,4~8,1~3,1~3,1~3,less1,1,0,0,1,0,1
No Urgent Place,Friend(s),Sunny,30.0,10PM,Carry out & Take away,1d,Female,31,Married partner,0.0,Some college - no degree,Arts Design Entertainment Sports & Media,$100000 or More,,less1,less1,gt8,4~8,less1,1,1,0,0,1,1
No Urgent Place,Alone,Sunny,55.0,6PM,Coffee House,1d,Female,46,Married partner,1.0,Some High School,Unemployed,$12500 - $24999,,never,never,less1,less1,never,1,0,0,0,1,1
Work,Alone,Sunny,80.0,7AM,Restaurant(<20),1d,Female,36,Married partner,1.0,Associates degree,Healthcare Practitioners & Technical,$75000 - $87499,,less1,never,4~8,1~3,less1,1,0,0,1,0,1
Home,Alone,Sunny,80.0,10PM,Carry out & Take away,1d,Female,26,Unmarried partner,0.0,Bachelors degree,Management,$62500 - $74999,,1~3,gt8,gt8,gt8,gt8,1,0,0,1,0,0
