LotFrontage,LotArea,LotShape,OverallQual,OverallCond,MasVnrArea,ExterQual,BsmtQual,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,SalePrice,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_NA,MasVnrType_None,MasVnrType_Stone,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_NA,MoSold_1,MoSold_2,MoSold_3,MoSold_4,MoSold_5,MoSold_6,MoSold_7,MoSold_8,MoSold_9,MoSold_10,MoSold_11,MoSold_12,YrSold_2006,YrSold_2007,YrSold_2008,YrSold_2009,YrSold_2010
65.0,8450,3.0,6.0,4.0,196.0,2.0,2.0,2.0,706,0,150,856,0.0,856,854,0,1710,1,0,2,1,3,1,2.0,8,0,2.0,2,548,0,61,0,0,0,0,0,208500,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
80.0,9600,3.0,5.0,7.0,0.0,3.0,2.0,0.0,978,0,284,1262,0.0,1262,0,0,1262,0,1,2,0,3,1,3.0,6,1,2.0,2,460,298,0,0,0,0,0,0,181500,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
68.0,11250,0.0,6.0,4.0,162.0,2.0,2.0,2.0,486,0,434,920,0.0,920,866,0,1786,1,0,2,1,3,1,2.0,6,1,2.0,2,608,0,42,0,0,0,0,0,223500,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
60.0,9550,0.0,6.0,4.0,0.0,3.0,4.0,0.0,216,0,540,756,2.0,961,756,0,1717,1,0,1,0,3,1,2.0,7,1,3.0,3,642,0,35,272,0,0,0,0,140000,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
84.0,14260,0.0,7.0,4.0,350.0,2.0,2.0,2.0,655,0,490,1145,0.0,1145,1053,0,2198,1,0,2,1,4,1,2.0,9,1,2.0,3,836,192,84,0,0,0,0,0,250000,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
85.0,14115,0.0,4.0,4.0,0.0,3.0,2.0,2.0,732,0,64,796,0.0,796,566,0,1362,1,0,1,1,1,1,3.0,5,0,3.0,2,480,40,30,0,320,0,0,700,143000,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
75.0,10084,3.0,7.0,4.0,186.0,2.0,0.0,2.0,1369,0,317,1686,0.0,1694,0,0,1694,1,0,2,0,3,1,2.0,7,1,2.0,2,636,255,57,0,0,0,0,0,307000,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
69.0,10382,0.0,6.0,5.0,240.0,3.0,2.0,0.0,859,32,216,1107,0.0,1107,983,0,2090,1,0,2,1,3,1,3.0,7,2,2.0,2,484,235,204,228,0,0,0,350,200000,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
51.0,6120,3.0,6.0,4.0,0.0,3.0,4.0,6.0,0,0,952,952,2.0,1022,752,0,1774,0,0,2,0,2,2,3.0,8,2,3.0,2,468,90,0,205,0,0,0,0,129900,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
50.0,7420,3.0,4.0,5.0,0.0,3.0,4.0,2.0,851,0,140,991,0.0,1077,0,0,1077,1,0,1,0,2,2,3.0,5,2,2.0,1,205,0,4,0,0,0,0,0,118000,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70.0,11200,3.0,4.0,4.0,0.0,3.0,4.0,5.0,906,0,134,1040,0.0,1040,0,0,1040,1,0,1,0,3,1,3.0,5,0,3.0,1,384,0,0,0,0,0,0,0,129500,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
85.0,11924,0.0,8.0,4.0,286.0,0.0,0.0,2.0,998,0,177,1175,0.0,1182,1142,0,2324,1,0,3,0,4,1,0.0,11,2,0.0,3,736,147,21,0,0,0,0,0,345000,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
69.0,12968,1.0,4.0,5.0,0.0,3.0,4.0,0.0,737,0,175,912,4.0,912,0,0,912,1,0,1,0,2,1,3.0,4,0,3.0,1,352,140,0,0,0,176,0,0,144000,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
91.0,10652,0.0,6.0,4.0,306.0,2.0,2.0,6.0,0,0,1494,1494,0.0,1494,0,0,1494,0,0,2,0,3,1,2.0,7,1,2.0,3,840,160,33,0,0,0,0,0,279500,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
69.0,10920,0.0,5.0,4.0,212.0,3.0,4.0,1.0,733,0,520,1253,4.0,1253,0,0,1253,1,0,1,1,2,1,3.0,5,1,2.0,1,352,0,213,176,0,0,0,0,157000,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
